Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
short,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
short,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
skirt,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
skirt,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
short,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
jacket,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
jacket,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
jacket,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
jeans,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
jeans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,2
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
short,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
short,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
short,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2300.0,Luxembourg,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2720.0,UK,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2666.0,Switzerland,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,3993.0,Greece,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,9448.0,USA,Machine wash_ cold,Line dry,1,1,1
jeans,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1,0,1,Africa,2072.0,Netherlands,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2389.0,Germany,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2262.0,Belgium,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2728.0,France,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2887.0,Austria,Machine wash_ cold,Line dry,1,1,1
jeans,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1,0,1,Africa,2495.0,Denmark,Machine wash_ cold,Line dry,1,1,1
